id_catalogo,cd_opcion,cc_externa,df_baja,cve_usuario,id_catalogo_padre,cd_descripcionDos,cc_externaDos,LOCK_FLAG,ix_dependencia,id_validar,id_validacion_planeacion,id_validacion_supervisor
1,Catalogo Articulacion Actividad,CAT,NULL,alberto.izquierdo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Elaborar sugerencias de elementos que contribuyan a la mejora de la educación inicial, para fortalecer el enfoque de educación inclusiva",110,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EMS, para fortalecer el enfoque de educación inclusiva",120,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de educación básica para favorecer la atención de las personas, pueblos y comunidades indígenas desde un enfoque de educación inclusiva",130,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Elaborar lineamientos para la mejora de las escuelas de educación básica,140,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Elaborar lineamientos para la mejora de los planteles escolares de educación media superior,150,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EB, para fortalecer el enfoque de educación inclusiva",160,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Gestionar la difusión en medios institucionales,170,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Diseñar materiales para la difusión de productos institucionales,180,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Coordinar el funcionamiento del Comité Editorial de la Comisión,190,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,Gestionar el programa editorial anual,200,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Gestionar el Centro de Documentación,210,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Elaborar un repositorio digital de materiales educativos en educación básica y media superior,220,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Elaborar estrategias de apoyo pedagógico para Educación Media Superior,230,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Implementar la estrategia para la definición de indicadores educativos clave,240,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Determinar indicadores para el seguimiento de los avances del Sistema Educativo Nacional,250,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Realizar análisis estadísticos por temas prioritarios,260,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Desarrollar el proyecto gobierno y administración de datos en apoyo a los procesos de segumiento a la mejora continua de la educación,270,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Coordinar la gestión interna,280,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Desarrollar herramientas de apoyo para el seguimiento de la mejora continua de la educación,290,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,No aplica,300,NULL,superusuario,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Catálogo de Tipo de Producto,CAT,NULL,superusuario,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,Intermedio,110,NULL,superusuario,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,Final,120,NULL,superusuario,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Periódico,130,NULL,superusuario,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,Catalogo Tipo de Producto Intermedio,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
27,Acta de sesión,110,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
28,Agenda de visitas a los estados,120,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
29,Base de datos,130,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
30,Bases de datos,140,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
31,Boletín,150,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
32,Catálogo,160,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
33,Categorías de análisis,170,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
34,Contrato,180,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
35,Convenio,190,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
36,Criterios operativos,200,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
37,Diagnóstico,210,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
38,Estrategias de apoyo pedagógico,220,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
39,Experiencias de las comunidades educativas,230,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
40,Folleto,240,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
41,Informe de diseño de materiales o instrumentos,250,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
42,Informe de evento,260,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
43,Informe de pilotaje de instrumentos,270,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
44,Informe de visitas estatales,280,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
45,Informe de resultados de servicios brindados,290,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
46,Informe para entidades externas,300,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
47,Marco conceptual y/o metodológico,310,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
48,Memoria,320,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
49,Memoria de evento,330,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
50,Metodología,340,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
51,Propuesta de material o instrumento,350,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
52,Talleres,360,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
53,Terminos de referencia,370,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
54,Otro,380,NULL,Superusuario,26,NULL,NULL,0,0,NULL,NULL,NULL
55,Catalogo Tipo de Producto Final,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
56,Criterios,110,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
57,Criterios de operación,120,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
58,Criterios de regulación institucional,130,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
59,Cuaderno Estadístico,140,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
60,Documento de fortalecimiento institucional,150,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
61,Estatuto,160,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
62,Estrategia,170,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
63,Estrategia institucional,180,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
64,Estudio,190,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
65,Evaluación,200,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
66,Indicadores,210,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
67,Informe de publicaciones,220,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
68,Informe de resultados,230,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
69,Informe de seguimiento de convenios,240,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
70,Informe de seguimiento y mejora,250,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
71,Intervención formativa,260,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
72,Investigación,270,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
73,Lineamientos,280,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
74,Marco rector,290,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
75,Material prototipo,300,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
76,Modelo Interno,310,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
77,Orientaciones finales,320,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
78,Padrón nacional,330,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
79,Plan,340,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
80,Plan o programa institucional,350,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
81,Política institucional,360,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
82,Procedimiento Institucional,370,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
83,Programa,380,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
84,Programa de trabajo,390,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
85,Programa Editorial Anual,400,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
86,Protocolo,410,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
87,Sistema Tecnológico,420,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
88,Sugerencias,430,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
89,Otro,440,NULL,Superusuario,55,NULL,NULL,0,0,NULL,NULL,NULL
90,Catalogo Tipo de Producto Periódico,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
91,Informe de gestión,110,NULL,Superusuario,90,NULL,NULL,0,0,NULL,NULL,NULL
92,Informe de seguimiento,120,NULL,Superusuario,90,NULL,NULL,0,0,NULL,NULL,NULL
93,Reporte de avances,130,NULL,Superusuario,90,NULL,NULL,0,0,NULL,NULL,NULL
94,Reporte del avance de documentos,140,NULL,Superusuario,90,NULL,NULL,0,0,NULL,NULL,NULL
95,Otro,150,NULL,Superusuario,90,NULL,NULL,0,0,NULL,NULL,NULL
96,Catalogo Estatus de Producto,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
97,Elaborado,110,NULL,Superusuario,96,NULL,NULL,0,0,NULL,NULL,NULL
98,Aprobado por Junta Directiva,120,NULL,Superusuario,96,NULL,NULL,0,0,NULL,NULL,NULL
99,Difundido (internamente),130,NULL,Superusuario,96,NULL,NULL,0,0,NULL,NULL,NULL
100,"Publicado (en internet, DOF, con ISBN)",140,NULL,Superusuario,96,NULL,NULL,0,0,NULL,NULL,NULL
101,Catalogo Tipo/Nivel Educativo,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
102,Inicial,13,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
103,Preescolar,14,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
104,Primaria,15,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
105,Secundaria,16,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
106,Básica,17,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
107,Media Superior,18,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
108,Básica y Medio Superior,19,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
109,Otro,20,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
111,Otros Servicios Educativos y Actividades Inherentes,37,NULL,Superusuario,101,NULL,NULL,0,0,NULL,NULL,NULL
112,Catalogo Campo de acción preponderante al que va dirigido,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
113,Trabajo docente,10,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
114,Formación continua y desarrollo profesional docente,20,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
115,Participación estudiantil,30,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
116,Participación social,40,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
117,Diseño curricular,50,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
118,Desarrollo de materiales educativos,60,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
119,Gestión educativa y escolar,70,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
120,Otros,80,NULL,Superusuario,112,NULL,NULL,0,0,NULL,NULL,NULL
121,Catalogo Actor educativo preponderante,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
122,Estudiantes,10,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
123,Maestras y maestros,20,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
124,Autoridades escolares,30,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
125,"Madres, padres de familia y tutores",40,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
126,Personal de acompañamiento y apoyo pedagógico,50,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
127,Profesoras y profesores formadores de docentes. Maestros y maestras de educación superior,60,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
128,Autoridades educativas estatales,70,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
129,Autoridades educativas federales,80,NULL,Superusuario,121,NULL,NULL,0,0,NULL,NULL,NULL
130,Catalogo Ámbito de participación y responsabilidad,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
131,Escuela,10,NULL,Superusuario,130,NULL,NULL,0,0,NULL,NULL,NULL
132,Zona escolar,20,NULL,Superusuario,130,NULL,NULL,0,0,NULL,NULL,NULL
133,Sector escolar,30,NULL,Superusuario,130,NULL,NULL,0,0,NULL,NULL,NULL
134,Sistema educativo estatal,40,NULL,Superusuario,130,NULL,NULL,0,0,NULL,NULL,NULL
135,Sistema Educativo Nacional,50,NULL,Superusuario,130,NULL,NULL,0,0,NULL,NULL,NULL
136,Catalogo Continuidad con otros productos de años anteriores,CAT,NULL,Superusuario,NULL,NULL,NULL,0,0,NULL,NULL,NULL
137,¡Hagamos comunidad! Estrategias de apoyo pedagógico EB,10,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
138,¡Hagamos comunidad! Estrategias de apoyo pedagógico EMS,20,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
139,"Apartados introductorios y normatividad de los procesos de selección para la admisión, promoción y reconocimiento en educación básica y media superior",30,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
140,Avanzar en la implementación del Sistema de monitoreo de políticas y programas educativos en las escuelas,40,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
141,Comunidades escolares al inicio del confinamiento por SARS-CoV-2. Cuaderno de Investigación Educativa Voces y perspectivas de los actores Informe ejecutivo,50,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
142,Convenio de colaboración Mejoredu-SE Gobierno de Veracruz,60,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
143,Convenio general de colaboración Conalep-Mejoredu,70,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
144,Convenio general de colaboración SEPEN Nayarit-Mejoredu,80,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
145,Convenio Mejoredu-Conafe,90,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
146,Convenio Mejoredu-IFOPIM Estado de México,100,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
147,"CRITERIOS Generales de los programas de formación continua y desarrollo profesional docente, y para la valoración de su diseño, operación y resultados en educación básica y media superior. CGPFCDPD-2021.",110,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
148,Definiciones fundamentales para la evaluación diagnóstica,120,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
149,Desarrollar investigación sobre la participación estudiantil en educación media superior. Informe final,130,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
150,Desarrollar investigación sobre la violencia escolar en educación secundaria. Informe final,140,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
151,Desarrollar la estrategia de evaluación integral de la educación básica y media superior Informe Final,150,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
152,"Desarrollar la estrategia interinstitucional para el desarrollo estudios, investigaciones especializadas y evaluaciones educativas",160,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
153,Desarrollar la Red de apoyo a la evaluación y la investigación educativa con autoridades educativas estatales,170,NULL,Superusuario,136,NULL,NULL,0,0,NULL,NULL,NULL
