id_catalogo,cd_opcion,cc_externa,df_baja,cve_usuario,id_catalogo_padre,cd_descripcionDos,cc_externaDos,LOCK_FLAG
1,"Catalogo Articulacion Actividad",1,NULL,superusuario,NULL,NULL,NULL,NULL
2,"Elaborar sugerencias de elementos que contribuyan a la mejora de la educación inicial, para fortalecer el enfoque de educación inclusiva",110,NULL,superusuario,1,NULL,NULL,NULL
3,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EMS, para fortalecer el enfoque de educación inclusiva",120,NULL,superusuario,1,NULL,NULL,NULL
4,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de educación básica para favorecer la atención de las personas, pueblos y comunidades indígenas desde un enfoque de educación inclusiva",130,NULL,superusuario,1,NULL,NULL,NULL
5,"Elaborar lineamientos para la mejora de las escuelas de educación básica",140,NULL,superusuario,1,NULL,NULL,NULL
6,"Elaborar lineamientos para la mejora de los planteles escolares de educación media superior",150,NULL,superusuario,1,NULL,NULL,NULL
7,"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EB, para fortalecer el enfoque de educación inclusiva",160,NULL,superusuario,1,NULL,NULL,NULL
8,"Gestionar la difusión en medios institucionales",170,NULL,superusuario,1,NULL,NULL,NULL
9,"Diseñar materiales para la difusión de productos institucionales",180,NULL,superusuario,1,NULL,NULL,NULL
10,"Coordinar el funcionamiento del Comité Editorial de la Comisión",190,NULL,superusuario,1,NULL,NULL,NULL
11,"Gestionar el programa editorial anual ",200,NULL,superusuario,1,NULL,NULL,NULL
12,"Gestionar el Centro de Documentación",210,NULL,superusuario,1,NULL,NULL,NULL
13,"Elaborar un repositorio digital de materiales educativos en educación básica y media superior",220,NULL,superusuario,1,NULL,NULL,NULL
14,"Elaborar estrategias de apoyo pedagógico para Educación Media Superior",230,NULL,superusuario,1,NULL,NULL,NULL
15,"Implementar la estrategia para la definición de indicadores educativos clave",240,NULL,superusuario,1,NULL,NULL,NULL
16,"Determinar indicadores para el seguimiento de los avances del Sistema Educativo Nacional",250,NULL,superusuario,1,NULL,NULL,NULL
17,"Realizar análisis estadísticos por temas prioritarios ",260,NULL,superusuario,1,NULL,NULL,NULL
18,"Desarrollar el proyecto gobierno y administración de datos en apoyo a los procesos de segumiento a la mejora continua de la educación",270,NULL,superusuario,1,NULL,NULL,NULL
