"id_catalogo";"cd_opcion";"cc_externa";"df_baja";"cve_usuario";"id_catalogo_padre";"cd_descripcionDos";"cc_externaDos";"LOCK_FLAG";"ix_dependencia";"id_validar";"id_validacion_planeacion";"id_validacion_supervisor"
1;"Catalogo Articulacion Actividad";"1";"";"superusuario";0;"";"";0;0;0;0;0
2;"Elaborar sugerencias de elementos que contribuyan a la mejora de la educación inicial, para fortalecer el enfoque de educación inclusiva";"110";"";"superusuario";1;"";"";0;0;0;0;0
3;"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EMS, para fortalecer el enfoque de educación inclusiva";"120";"";"superusuario";1;"";"";0;0;0;0;0
4;"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de educación básica para favorecer la atención de las personas, pueblos y comunidades indígenas desde un enfoque de educación inclusiva";"130";"";"superusuario";1;"";"";0;0;0;0;0
5;"Elaborar lineamientos para la mejora de las escuelas de educación básica";"140";"";"superusuario";1;"";"";0;0;0;0;0
6;"Elaborar lineamientos para la mejora de los planteles escolares de educación media superior";"150";"";"superusuario";1;"";"";0;0;0;0;0
7;"Elaborar sugerencias de elementos que contribuyan a la mejora de los planes y programas de estudio de EB, para fortalecer el enfoque de educación inclusiva";"160";"";"superusuario";1;"";"";0;0;0;0;0
8;"Gestionar la difusión en medios institucionales";"170";"";"superusuario";1;"";"";0;0;0;0;0
9;"Diseñar materiales para la difusión de productos institucionales";"180";"";"superusuario";1;"";"";0;0;0;0;0
10;"Coordinar el funcionamiento del Comité Editorial de la Comisión";"190";"";"superusuario";1;"";"";0;0;0;0;0
11;"Gestionar el programa editorial anual ";"200";"";"superusuario";1;"";"";0;0;0;0;0
12;"Gestionar el Centro de Documentación";"210";"";"superusuario";1;"";"";0;0;0;0;0
13;"Elaborar un repositorio digital de materiales educativos en educación básica y media superior";"220";"";"superusuario";1;"";"";0;0;0;0;0
14;"Elaborar estrategias de apoyo pedagógico para Educación Media Superior";"230";"";"superusuario";1;"";"";0;0;0;0;0
15;"Implementar la estrategia para la definición de indicadores educativos clave";"240";"";"superusuario";1;"";"";0;0;0;0;0
16;"Determinar indicadores para el seguimiento de los avances del Sistema Educativo Nacional";"250";"";"superusuario";1;"";"";0;0;0;0;0
17;"Realizar análisis estadísticos por temas prioritarios ";"260";"";"superusuario";1;"";"";0;0;0;0;0
18;"Desarrollar el proyecto gobierno y administración de datos en apoyo a los procesos de segumiento a la mejora continua de la educación";"270";"";"superusuario";1;"";"";0;0;0;0;0
19;"Coordinar la gestión interna";"280";"";"superusuario";1;"";"";0;0;0;0;0
20;"Desarrollar herramientas de apoyo para el seguimiento de la mejora continua de la educación";"290";"";"superusuario";1;"";"";0;0;0;0;0
21;"No aplica";"300";"";"superusuario";1;"";"";0;0;0;0;0
22;"Catálogo de Tipo de Producto";"2";"";"superusuario";0;"";"";0;0;0;0;0
23;"Intermedio";"110";"";"superusuario";22;"";"";0;0;0;0;0
24;"Final";"120";"";"superusuario";22;"";"";0;0;0;0;0
25;"Periódico";"130";"";"superusuario";22;"";"";0;0;0;0;0
26;"Catalogo Tipo de Producto Intermedio";"";"";"Superusuario";0;"";"";0;0;0;0;0
27;"Acta de sesión";"110";"";"Superusuario";26;"";"";0;0;0;0;0
28;"Agenda de visitas a los estados";"120";"";"Superusuario";26;"";"";0;0;0;0;0
29;"Base de datos";"130";"";"Superusuario";26;"";"";0;0;0;0;0
30;"Bases de datos";"140";"";"Superusuario";26;"";"";0;0;0;0;0
31;"Boletín";"150";"";"Superusuario";26;"";"";0;0;0;0;0
32;"Catálogo";"160";"";"Superusuario";26;"";"";0;0;0;0;0
33;"Categorías de análisis";"170";"";"Superusuario";26;"";"";0;0;0;0;0
34;"Contrato";"180";"";"Superusuario";26;"";"";0;0;0;0;0
35;"Convenio";"190";"";"Superusuario";26;"";"";0;0;0;0;0
36;"Criterios operativos";"200";"";"Superusuario";26;"";"";0;0;0;0;0
37;"Diagnóstico";"210";"";"Superusuario";26;"";"";0;0;0;0;0
38;"Estrategias de apoyo pedagógico";"220";"";"Superusuario";26;"";"";0;0;0;0;0
39;"Experiencias de las comunidades educativas";"230";"";"Superusuario";26;"";"";0;0;0;0;0
40;"Folleto";"240";"";"Superusuario";26;"";"";0;0;0;0;0
41;"Informe de diseño de materiales o instrumentos";"250";"";"Superusuario";26;"";"";0;0;0;0;0
42;"Informe de evento";"260";"";"Superusuario";26;"";"";0;0;0;0;0
43;"Informe de pilotaje de instrumentos";"270";"";"Superusuario";26;"";"";0;0;0;0;0
44;"Informe de visitas estatales";"280";"";"Superusuario";26;"";"";0;0;0;0;0
45;"Informe de resultados de servicios brindados";"290";"";"Superusuario";26;"";"";0;0;0;0;0
46;"Informe para entidades externas";"300";"";"Superusuario";26;"";"";0;0;0;0;0
47;"Marco conceptual y/o metodológico";"310";"";"Superusuario";26;"";"";0;0;0;0;0
48;"Memoria";"320";"";"Superusuario";26;"";"";0;0;0;0;0
49;"Memoria de evento";"330";"";"Superusuario";26;"";"";0;0;0;0;0
50;"Metodología";"340";"";"Superusuario";26;"";"";0;0;0;0;0
51;"Propuesta de material o instrumento";"350";"";"Superusuario";26;"";"";0;0;0;0;0
52;"Talleres";"360";"";"Superusuario";26;"";"";0;0;0;0;0
53;"Terminos de referencia";"370";"";"Superusuario";26;"";"";0;0;0;0;0
54;"Otro";"380";"";"Superusuario";26;"";"";0;0;0;0;0
55;"Catalogo Tipo de Producto Final";"";"";"Superusuario";0;"";"";0;0;0;0;0
56;"Criterios";"110";"";"Superusuario";55;"";"";0;0;0;0;0
57;"Criterios de operación";"120";"";"Superusuario";55;"";"";0;0;0;0;0
58;"Criterios de regulación institucional";"130";"";"Superusuario";55;"";"";0;0;0;0;0
59;"Cuaderno Estadístico";"140";"";"Superusuario";55;"";"";0;0;0;0;0
60;"Documento de fortalecimiento institucional";"150";"";"Superusuario";55;"";"";0;0;0;0;0
61;"Estatuto";"160";"";"Superusuario";55;"";"";0;0;0;0;0
62;"Estrategia";"170";"";"Superusuario";55;"";"";0;0;0;0;0
63;"Estrategia institucional";"180";"";"Superusuario";55;"";"";0;0;0;0;0
64;"Estudio";"190";"";"Superusuario";55;"";"";0;0;0;0;0
65;"Evaluación";"200";"";"Superusuario";55;"";"";0;0;0;0;0
66;"Indicadores";"210";"";"Superusuario";55;"";"";0;0;0;0;0
67;"Informe de publicaciones";"220";"";"Superusuario";55;"";"";0;0;0;0;0
68;"Informe de resultados";"230";"";"Superusuario";55;"";"";0;0;0;0;0
69;"Informe de seguimiento de convenios";"240";"";"Superusuario";55;"";"";0;0;0;0;0
70;"Informe de seguimiento y mejora";"250";"";"Superusuario";55;"";"";0;0;0;0;0
71;"Intervención formativa";"260";"";"Superusuario";55;"";"";0;0;0;0;0
72;"Investigación";"270";"";"Superusuario";55;"";"";0;0;0;0;0
73;"Lineamientos";"280";"";"Superusuario";55;"";"";0;0;0;0;0
74;"Marco rector";"290";"";"Superusuario";55;"";"";0;0;0;0;0
75;"Material prototipo";"300";"";"Superusuario";55;"";"";0;0;0;0;0
76;"Modelo Interno";"310";"";"Superusuario";55;"";"";0;0;0;0;0
77;"Orientaciones finales";"320";"";"Superusuario";55;"";"";0;0;0;0;0
78;"Padrón nacional";"330";"";"Superusuario";55;"";"";0;0;0;0;0
79;"Plan";"340";"";"Superusuario";55;"";"";0;0;0;0;0
80;"Plan o programa institucional";"350";"";"Superusuario";55;"";"";0;0;0;0;0
81;"Política institucional";"360";"";"Superusuario";55;"";"";0;0;0;0;0
82;"Procedimiento Institucional";"370";"";"Superusuario";55;"";"";0;0;0;0;0
83;"Programa";"380";"";"Superusuario";55;"";"";0;0;0;0;0
84;"Programa de trabajo";"390";"";"Superusuario";55;"";"";0;0;0;0;0
85;"Programa Editorial Anual";"400";"";"Superusuario";55;"";"";0;0;0;0;0
86;"Protocolo";"410";"";"Superusuario";55;"";"";0;0;0;0;0
87;"Sistema Tecnológico";"420";"";"Superusuario";55;"";"";0;0;0;0;0
88;"Sugerencias";"430";"";"Superusuario";55;"";"";0;0;0;0;0
89;"Otro";"440";"";"Superusuario";55;"";"";0;0;0;0;0
90;"Catalogo Tipo de Producto Periódico";"";"";"Superusuario";0;"";"";0;0;0;0;0
91;"Informe de gestión";"110";"";"Superusuario";90;"";"";0;0;0;0;0
92;"Informe de seguimiento";"120";"";"Superusuario";90;"";"";0;0;0;0;0
93;"Reporte de avances";"130";"";"Superusuario";90;"";"";0;0;0;0;0
94;"Reporte del avance de documentos";"140";"";"Superusuario";90;"";"";0;0;0;0;0
95;"Otro";"150";"";"Superusuario";90;"";"";0;0;0;0;0
96;"Catalogo Estatus de Producto";"";"";"Superusuario";0;"";"";0;0;0;0;0
97;"Elaborado";"110";"";"Superusuario";96;"";"";0;0;0;0;0
98;"Aprobado por Junta Directiva";"120";"";"Superusuario";96;"";"";0;0;0;0;0
99;"Difundido (internamente)";"130";"";"Superusuario";96;"";"";0;0;0;0;0
100;"Publicado (en internet, DOF, con ISBN)";"140";"";"Superusuario";96;"";"";0;0;0;0;0
101;"Catalogo Tipo/Nivel Educativo";"";"";"Superusuario";0;"";"";0;0;0;0;0
102;"Inicial";"13";"";"Superusuario";101;"";"";0;0;0;0;0
103;"Preescolar";"14";"";"Superusuario";101;"";"";0;0;0;0;0
104;"Primaria";"15";"";"Superusuario";101;"";"";0;0;0;0;0
105;"Secundaria";"16";"";"Superusuario";101;"";"";0;0;0;0;0
106;"Básica";"17";"";"Superusuario";101;"";"";0;0;0;0;0
107;"Media Superior";"18";"";"Superusuario";101;"";"";0;0;0;0;0
108;"Básica y Medio Superior";"19";"";"Superusuario";101;"";"";0;0;0;0;0
109;"Otro";"20";"";"Superusuario";101;"";"";0;0;0;0;0
111;"Otros Servicios Educativos y Actividades Inherentes";"37";"";"Superusuario";101;"";"";0;0;0;0;0
112;"Catalogo Campo de acción preponderante al que va dirigido";"";"";"Superusuario";0;"";"";0;0;0;0;0
113;"Trabajo docente";"10";"";"Superusuario";112;"";"";0;0;0;0;0
114;"Formación continua y desarrollo profesional docente";"20";"";"Superusuario";112;"";"";0;0;0;0;0
115;"Participación estudiantil";"30";"";"Superusuario";112;"";"";0;0;0;0;0
116;"Participación social";"40";"";"Superusuario";112;"";"";0;0;0;0;0
117;"Diseño curricular";"50";"";"Superusuario";112;"";"";0;0;0;0;0
118;"Desarrollo de materiales educativos";"60";"";"Superusuario";112;"";"";0;0;0;0;0
119;"Gestión educativa y escolar";"70";"";"Superusuario";112;"";"";0;0;0;0;0
120;"Otros";"80";"";"Superusuario";112;"";"";0;0;0;0;0
121;"Catalogo Actor educativo preponderante";"";"";"Superusuario";0;"";"";0;0;0;0;0
122;"Estudiantes";"10";"";"Superusuario";121;"";"";0;0;0;0;0
123;"Maestras y maestros";"20";"";"Superusuario";121;"";"";0;0;0;0;0
124;"Autoridades escolares";"30";"";"Superusuario";121;"";"";0;0;0;0;0
125;"Madres, padres de familia y tutores";"40";"";"Superusuario";121;"";"";0;0;0;0;0
126;"Personal de acompañamiento y apoyo pedagógico";"50";"";"Superusuario";121;"";"";0;0;0;0;0
127;"Profesoras y profesores formadores de docentes. Maestros y maestras de educación superior";"60";"";"Superusuario";121;"";"";0;0;0;0;0
128;"Autoridades educativas estatales";"70";"";"Superusuario";121;"";"";0;0;0;0;0
129;"Autoridades educativas federales";"80";"";"Superusuario";121;"";"";0;0;0;0;0
130;"Catalogo Ámbito de participación y responsabilidad";"";"";"Superusuario";0;"";"";0;0;0;0;0
131;"Escuela";"10";"";"Superusuario";130;"";"";0;0;0;0;0
